track_id,track_name,artist_name,streams,artist_id,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_indie_proba,genre_pop_proba,genre_rock_proba,genre_soul_proba
6VqZS3Wmf53pbfDBVEYvnP,Hindi Tayo Pwede,The Juans,366,1YlibpAvhJBbMZMBwN1KGv,303937,0.283,0.281,11.0,-11.414,1.0,0.035,0.437,0.00114,0.102,0.127,79.919,"['opm', 'p-pop']",0,indie,0.495210479435937,0.495210479435937,0.07790796334017679,0.2684053422976113,0.15847621492627478
65sEZZaxTjLMD8vNgPoMz5,Imahe,Magnus Haven,366,28B54RKpJrEmDoGSTjsfY6,321817,0.604,0.446,9.0,-8.01,1.0,0.0341,0.63,0.0,0.0859,0.199,143.946,"['opm', 'p-pop']",1,pop,0.37527171452134667,0.14698492486489376,0.37527171452134667,0.28298056026789487,0.1947628003458648
2Mo4pOpCYXOu33856sMQLh,Make It With You,Ben&Ben,366,4DAcJXcjX0zlQAZAPAx4Zb,209782,0.558,0.458,4.0,-10.711,1.0,0.0485,0.7,2.11e-05,0.186,0.342,86.877,['opm'],3,soul,0.5661014439101362,0.15320411547139934,0.08128807360379091,0.1994063670146734,0.5661014439101362
63qA4ydokzNOFpsaNlsYsC,Higa,Arthur Nery,355,7uDdl5V5AETSFY7K3muu22,245760,0.657,0.337,9.0,-10.546,1.0,0.0433,0.45,0.0,0.106,0.183,125.057,"['cdo indie', 'opm', 'p-pop']",3,soul,0.3910975079637391,0.1637483080096485,0.157549802774513,0.28760438125209914,0.3910975079637391
2v5VIWMjZxeiG52KckiXxS,Ikaw Lamang,Silent Sanctuary,351,4nGp682WMiKS4X217kPw8C,306466,0.394,0.623,9.0,-5.029,1.0,0.0384,0.573,0.0,0.0937,0.316,115.003,"['opm', 'pinoy rock']",1,pop,0.4208587887168001,0.22590101819832015,0.4208587887168001,0.2219807072726566,0.13125948581222302
0HZ3OUVrGHxttD2EuHqRm3,The Day You Said Goodnight,Hale,359,6Ww3OMFzCaO33ulKh1LBFN,291357,0.558,0.553,4.0,-6.669,1.0,0.0323,0.492,0.0,0.116,0.251,134.263,"['opm', 'pinoy reggae', 'pinoy rock']",1,pop,0.4183360844628229,0.10388560567178164,0.4183360844628229,0.40914281067012853,0.06863549919526685
16iRlyUMJVPqz62DlomMre,Ikaw Lang,NOBITA,365,5GVk1KCKa1tdHRev4bMw7V,263500,0.513,0.38,11.0,-11.091,1.0,0.0336,0.12,0.0,0.0924,0.323,120.952,['opm'],2,rock,0.45695328601900753,0.1445160836086256,0.0569655942651672,0.45695328601900753,0.3415650361071998
55RMhrPQYA6vLu5YMgXxFD,Binibini,Zack Tabudlo,357,67IN4cLJ7798gUapyZlmac,221538,0.642,0.374,5.0,-10.606,1.0,0.032,0.423,1.54e-06,0.435,0.0979,129.863,"['acoustic opm', 'p-pop', 'pop']",2,rock,0.3519744645599235,0.19174218977804133,0.23334535370164017,0.3519744645599235,0.22293799196039513
63bmIgH9sS6sX5Sc7MetGq,Habang Buhay,Zack Tabudlo,362,67IN4cLJ7798gUapyZlmac,244067,0.62,0.668,9.0,-5.719,1.0,0.0305,0.088,0.0,0.362,0.183,118.013,"['acoustic opm', 'p-pop', 'pop']",2,rock,0.3936149975711022,0.15576533661112554,0.39346585853880006,0.3936149975711022,0.05715380727897218
4iRRAvxPPWXQp3mV1rAbPF,Unang Sayaw,NOBITA,364,5GVk1KCKa1tdHRev4bMw7V,278008,0.5,0.397,9.0,-11.653,1.0,0.0557,0.412,0.0,0.126,0.375,180.045,['opm'],3,soul,0.5566252134063291,0.1177561180837368,0.08424386441952134,0.24137480409041293,0.5566252134063291
08MFgEQeVLF37EyZ7jcwLc,Pano,Zack Tabudlo,365,67IN4cLJ7798gUapyZlmac,254400,0.375,0.457,3.0,-7.018,1.0,0.0315,0.868,0.0145,0.191,0.415,174.839,"['acoustic opm', 'p-pop', 'pop']",0,indie,0.35414506132664303,0.35414506132664303,0.08914310329189737,0.2318352093918272,0.3248766259896325
3Eb5sztvEMa0Mqnb8DUAlU,Come Inside Of My Heart,IV Of Spades,90,4k9wp4ipHdA1bu1T4x1ZTG,246396,0.676,0.565,10.0,-9.411,1.0,0.03,0.00321,0.000579,0.241,0.689,113.007,"['opm', 'p-pop', 'pinoy trap', 'pop']",2,rock,0.6254834521139668,0.1791806571429126,0.05388288863375856,0.6254834521139668,0.14145300210936207
3PgjBOoA5OytNGkglObpOd,Sa Susunod na Habang Buhay,Ben&Ben,90,4DAcJXcjX0zlQAZAPAx4Zb,288189,0.311,0.342,2.0,-8.889,1.0,0.032,0.432,1.93e-06,0.114,0.274,177.158,['opm'],2,rock,0.34453829640397865,0.1711116760504361,0.1969686999556596,0.34453829640397865,0.28738132758992585
0WZqHCoOBXqgCCIsUZLC2a,Pagsamo,Arthur Nery,90,7uDdl5V5AETSFY7K3muu22,297001,0.644,0.315,6.0,-9.382,1.0,0.0339,0.706,0.00162,0.0962,0.356,60.001,"['cdo indie', 'opm', 'p-pop']",3,soul,0.4393830152775104,0.31207309166591385,0.0841982296171895,0.16434566343938642,0.4393830152775104
7C9Knp9FzLY6RwgktmW9Ge,BMW,Because,81,0n4a5imdLBN24fIrBWoqrv,168205,0.758,0.39,1.0,-9.799,1.0,0.0485,0.567,0.0,0.099,0.238,117.048,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']",3,soul,0.44707485967339167,0.149260898125092,0.18285836463624286,0.22080587756527342,0.44707485967339167
4IeuTj1pEHuL9vJSiEqEfR,Ligaya,mrld,90,31fsDbpNPKe346urriO4ma,248800,0.458,0.533,0.0,-5.249,1.0,0.0381,0.447,0.0,0.114,0.343,149.832,['opm'],1,pop,0.4629874780571416,0.15317462483550595,0.4629874780571416,0.2529840402563861,0.1308538568509662
